Chromophore,Solvent,Lifetime (ns)
CC1=C(Br)C(C=Cc2ccncc2)=[N+]2C1=C(c1ccccc1)c1c(C)c(Br)c(C=Cc3ccncc3)n1[B-]2(F)F,ClC(Cl)Cl,
CC1=C(C=Cc2ccccc2)C(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(C=Cc3ccccc3)c(C)n1[B-]2(F)F,ClC(Cl)Cl,
CC1=C(C=Cc2ccccc2)C2=Cc3c(C=Cc4ccccc4)c(C)c(C)n3[B-](F)(F)[N+]2=C1C,CC#N,
CC1=CC(C=Cc2ccc(C)cc2)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C=Cc3ccc(C)cc3)n1[B-]2(F)F,CC1CCCO1,
CC1=CC(C=Cc2c3ccccc3c(C)c3ccccc23)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C=Cc3c4ccccc4c(C)c4ccccc34)n1[B-]2(F)F,CC1CCCO1,
CC1=CC(C=Cc2ccc3ccc4cccc5ccc2c3c45)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C=Cc3ccc4ccc5cccc6ccc3c4c56)n1[B-]2(F)F,CC1CCCO1,
CCOC(=O)c1ccc(C=CC2=[N+]3C(=C(c4ccccc4)c4ccc(C=Cc5ccc(C(=O)OCC)o5)n4[B-]3(F)F)C=C2)o1,ClC(Cl)Cl,
CCOC(=O)C=CC1=[N+]2C(=C(c3c(C)cc(C)cc3C)c3ccc(C=CC(=O)OCC)n3[B-]2(F)F)C=C1,ClCCl,
COC(=O)C=CC=CC1=[N+]2C(=C(c3c(C)cc(C)cc3C)c3ccc(C=CC=CC(=O)OC)n3[B-]2(F)F)C=C1,ClCCl,
CCCCCCOC(=O)C=CC1=CC2=C(c3c(C)cc(C)cc3C)c3cc(C=CC(=O)OCCCCCC)cn3[B-](F)(F)[N+]2=C1,ClCCl,
COC(=O)C=CC=CC1=CC2=C(c3c(C)cc(C)cc3C)c3cc(C=CC=CC(=O)OC)cn3[B-](F)(F)[N+]2=C1,ClCCl,
CCCCCCCCCCOc1cc(OCCCCCCCCCC)cc(C2=C3C(C)=CC(C=Cc4ccc(OC)cc4)=[N+]3[B-](F)(F)n3c(C=Cc4ccc(OC)cc4)cc(C)c32)c1,ClC(Cl)Cl,
CCCCCCCCCCOc1cc(OCCCCCCCCCC)cc(C2=C3C(C)=CC(C=Cc4ccc(OC)cc4)=[N+]3[B-](F)(F)n3c(C=Cc4ccc(OC)cc4)cc(C=Cc4ccc(OC)cc4)c32)c1,ClC(Cl)Cl,
CCCCCCCCCCOc1cc(OCCCCCCCCCC)cc(C2=C3C(C=Cc4ccc(OC)cc4)=CC(C=Cc4ccc(OC)cc4)=[N+]3[B-](F)(F)n3c(C=Cc4ccc(OC)cc4)cc(C=Cc4ccc(OC)cc4)c32)c1,ClC(Cl)Cl,
COc1ccc(C2=C3C(C=Cc4cc(OC)c(OC)c(OC)c4)=C(C=O)C(C)=[N+]3[B-](F)(F)n3c(C)c(C=O)c(C=Cc4cc(OC)c(OC)c(OC)c4)c32)cc1,ClCCl,
COc1ccc(C2=C3C(C=Cc4cc(OC)c(OC)c(OC)c4)=C(C=O)C(C)=[N+]3[B-](F)(F)n3c(C=Cc4cc(OC)c(OC)c(OC)c4)c(C=O)c(C=Cc4cc(OC)c(OC)c(OC)c4)c32)cc1,ClCCl,
COc1ccc(C2=C3C(C=Cc4cc(OC)c(OC)c(OC)c4)=C(C=O)C(C=Cc4cc(OC)c(OC)c(OC)c4)=[N+]3[B-](F)(F)n3c(C=Cc4cc(OC)c(OC)c(OC)c4)c(C=O)c(C=Cc4cc(OC)c(OC)c(OC)c4)c32)cc1,ClCCl,
COc1ccc(C=CC2=CC(C=Cc3ccc(OC)cc3)=[N+]3C2=C(c2ccc(-c4ccc5ccccc5n4)s2)c2c(C=Cc4ccc(OC)cc4)cc(C=Cc4ccc(OC)cc4)n2[B-]3(F)F)cc1,C1COCCO1,
CCCCOc1ccc(C=CC2=[N+]3C(=C(c4ccc(I)cc4)c4c(C=Cc5ccc(N(C)C)cc5)cc(C=Cc5ccc(OC)cc5)n4[B-]3(F)F)C(C=Cc3ccc(OCCOCCOC)cc3)=C2)cc1,C1COCCO1,
CCCCCCCCCCOc1cc(OCCCCCCCCCC)cc(C2=C3C(C=Cc4ccc(OC)cc4)=C(C#Cc4ccc(C(C)(C)C)cc4)C(C=Cc4ccc(OC)cc4)=[N+]3[B-](F)(F)n3c(C=Cc4ccc(OC)cc4)c(C#Cc4ccc(C(C)(C)C)cc4)c(C=Cc4ccc(OC)cc4)c32)c1,ClC(Cl)Cl,
CCCCCCCCCCOc1cc(OCCCCCCCCCC)cc(C2=C3C(C=Cc4ccc(N(C)C)cc4)=C(C#Cc4ccc(C(C)(C)C)cc4)C(C=Cc4ccc(N(C)C)cc4)=[N+]3[B-](F)(F)n3c(C=Cc4ccc(N(C)C)cc4)c(C#Cc4ccc(C(C)(C)C)cc4)c(C=Cc4ccc(N(C)C)cc4)c32)c1,ClC(Cl)Cl,
CC1=C2C=CC(c3ccccc3)=[N+]2[B-](F)(F)n2c1ccc2-c1ccccc1,ClCCl,
CN1C(=CC=CC2=C3C=CC(c4ccccc4)=[N+]3[B-](F)(F)n3c2ccc3-c2ccccc2)C(C)(C)c2ccccc21,CC#N,
CN1C(=CC=CC=CC2=C3C=CC(c4ccccc4)=[N+]3[B-](F)(F)n3c2ccc3-c2ccccc2)C(C)(C)c2ccccc21,CC#N,
CN1C(=CC=CC2=C3C=CC(c4ccccc4)=[N+]3[B-](F)(F)n3c2ccc3-c2ccccc2)Sc2ccccc21,CC#N,
CCC1=C(C)C2=C(C)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,ClCCl,
CCC1=C(C)C2=C(C=Cc3ccc([N+](=O)[O-])cc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,ClCCl,
CCC1=C(C)C2=C(C=Cc3ccc(OC)cc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,ClCCl,
CCC1=C(C)C2=C(C=CSc3ccccc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,ClCCl,
CCC1=C(C)C2=C(C=Cc3ccc([N+](=O)[O-])cc3)c3c(C)c(CC)c(C=Cc4ccc(OC)cc4)n3[B-](F)(F)[N+]2=C1C=Cc1ccc(OC)cc1,ClCCl,
Cc1ccc(C2=C3C=CC(Oc4ccccc4)=[N+]3[B-](F)(F)n3c(Oc4ccccc4)ccc32)cc1,C1CCOC1,
Cc1ccc(C2=C3C=CC(Nc4ccccc4)=[N+]3[B-](F)(F)n3c(Nc4ccccc4)ccc32)cc1,CO,
Cc1ccc(C2=C3C=CC(Sc4ccccc4)=[N+]3[B-](F)(F)n3c(Sc4ccccc4)ccc32)cc1,C1CCOC1,
Cc1ccc(C2=C3C=CC([Se]c4ccccc4)=[N+]3[B-](F)(F)n3c([Se]c4ccccc4)ccc32)cc1,C1CCOC1,
Cc1ccc(C2=C3C=CC([Te]c4ccccc4)=[N+]3[B-](F)(F)n3c([Te]c4ccccc4)ccc32)cc1,C1CCOC1,
CSC1=C(C)C2=C(c3ccc(C)cc3)c3c(C)c(Cl)c(C)n3[B-](F)(F)[N+]2=C1C,C1CCOC1,
F[B-]1(F)n2c(cc3c2-c2ccccc2CC3)C(c2ccc(I)cc2)=C2C=C3CCc4ccccc4C3=[N+]21,ClC(Cl)Cl,
CC1=C2CCc3ccccc3C2=[N+]2C1=C(c1ccc(I)cc1)c1c(C)c3c(n1[B-]2(F)F)-c1ccccc1CC3,ClC(Cl)Cl,
F[B-]1(F)n2c(cc3ccc4ccccc4c32)C(c2ccc(I)cc2)=C2C=C3CCc4ccccc4C3=[N+]21,ClC(Cl)Cl,
COc1ccc2c(c1)CCC1=C(c3ccccc3)C3=C(c4ccc5cccc(O)c5n4)c4c(-c5ccccc5)c5c(n4[B-](F)(F)[N+]3=C12)-c1ccc(OC)cc1CC5,O,
F[B-]1(F)n2c(c(Sc3ccccc3)c3c2-c2ccccc2CC3)C=C2C(Sc3ccccc3)=C3CCc4ccccc4C3=[N+]21,CC#N,
F[B-]1(F)n2c(c(-c3cccs3)c3c2-c2ccccc2CC3)C=C2C(c3cccs3)=C3CCc4ccccc4C3=[N+]21,CC#N,
CC1=C2C3=C(CCc4ccccc43)C(C)=[N+]2[B-](F)(F)n2c(C)c3c(c21)-c1ccccc1CC3,CC#N,
CC1=[N+]2C(=C(c3ccccc3)c3c4c(c(C)n3[B-]2(F)F)CCc2ccccc2-4)C2=C1CCc1ccccc12,CC#N,
Cc1ccc(C2=C3C=C4C(=[N+]3[B-](F)(F)n3c2cc2c3-c3ccccc3C23c2ccccc2-c2ccccc23)c2ccccc2C42c3ccccc3-c3ccccc32)cc1,C1CCOC1,
F[B-]1(F)n2c(c(-c3ccccc3)c3c2C2=Cc4ccccc4OC2CC3)C=C2C(c3ccccc3)=C3CCC4Oc5ccccc5C=C4C3=[N+]21,ClC(Cl)Cl,
Cc1ccc(C2=C3C=c4c(oc5ccccc45)=[N+]3[B-](F)(F)n3c2cc2c4ccccc4oc23)cc1,ClCCl,
F[B-]1(F)n2c(cc3oc4ccccc4c32)C(c2ccc(I)cc2)=C2C=c3oc4ccccc4c3=[N+]21,ClC(Cl)Cl,
Cc1cc2c(o1)=CC1=Cc3cc4oc(C)cc4n3[B-](F)(F)[N+]=21,ClC(Cl)Cl,
F[B-]1(F)n2c(cc3oc(-c4ccccc4)cc32)C=C2C=c3oc(-c4ccccc4)cc3=[N+]21,ClC(Cl)Cl,
COc1ccc(-c2cc3c(o2)=CC2=Cc4cc5oc(-c6ccc(OC)cc6)cc5n4[B-](F)(F)[N+]=32)cc1,ClC(Cl)Cl,
COc1ccc(-c2cc3c(o2)=CC2=C(C(F)(F)F)c4cc5oc(-c6ccc(OC)cc6)cc5n4[B-](F)(F)[N+]=32)cc1,ClC(Cl)Cl,
COc1ccccc1-c1cc2c(o1)=CC1=Cc3cc4oc(-c5ccccc5OC)cc4n3[B-](F)(F)[N+]=21,ClC(Cl)Cl,
F[B-]1(F)n2c(cc3sc4ccccc4c32)C(c2ccc(I)cc2)=C2C=c3sc4ccccc4c3=[N+]21,ClC(Cl)Cl,
COC(=O)c1ccc(C2=C3C=c4sccc4=[N+]3[B-](F)(F)n3c2cc2sccc23)cc1,ClCCl,
COc1ccc(-c2cc3c(s2)=CC2=C(C(F)(F)F)c4cc5sc(-c6ccc(OC)cc6)cc5n4[B-](F)(F)[N+]=32)cc1,ClC(Cl)Cl,
COC(=O)c1ccc(C2=C3C=c4sc(-c5cccs5)cc4=[N+]3[B-](F)(F)n3c2cc2sc(-c4cccs4)cc23)cc1,ClCCl,
Ic1ccc(C2=C3C=CC4=[N+]3[B-]3(Oc5ccccc54)Oc4ccccc4-c4ccc2n43)cc1,ClC(Cl)Cl,
Cc1cc(C)c(C2=C3C=CC(c4ccccc4O)=[N+]3[B-]3(c4ccccc4)Oc4ccccc4-c4ccc2n43)c(C)c1,ClC(Cl)Cl,
Cc1cc(C)c(C2=C3C=CC4=[N+]3[B-]3(Oc5ccccc54)Oc4ccccc4-c4ccc2n43)c(C)c1,ClC(Cl)Cl,
COc1ccccc1C1=[N+]2C(=Cc3c4c(c(-c5ccccc5OC)n3[B-]2(F)F)C2CCC4CC2)C2=C1C1CCC2CC1,ClCCl,
C1=C2C3=C(C4=[N+]2[B-]2(Oc5ccccc54)Oc4ccccc4-c4c5c(c1n42)C1CCC5CC1)C1CCC3CC1,ClCCl,
CC1=[N+]2C(=C(c3ccccc3)c3c4c(c(C)n3[B-]2(F)F)C2CCC4CC2)C2=C1C1CCC2CC1,CC#N,
CC1=[N+]2C(=C(c3ccccc3)c3c4ccccc4c(C)n3[B-]2(F)F)c2ccccc21,CC#N,
F[B-]1(F)n2c(c(-c3ccccc3)c3ccccc32)C(c2ccccc2)=C2C(c3ccccc3)=c3ccccc3=[N+]21,ClCCl,
F[B-]1(F)C2=C(C=c3c4cccc5cccc(c54)n31)c1cccc3ccc[n+]2c13,CS(C)=O,
CC1=c2c3c4cccc5cccc(c=3c(C)[n+]2[B-](F)(F)n2c(C)c3c(c21)-c1cccc2cccc-3c12)c54,ClC(Cl)Cl,
CC1=[N+]2C(=C(c3ccccc3)c3c4c5ccccc5c5ccccc5c4c(C)n3[B-]2(F)F)c2c1c1ccccc1c1ccccc21,CCCCCC,
Cc1cc(C)c(C2=C3C=c4c(c5ccccc5c5ccccc45)=[N+]3[B-](F)(F)n3c2cc2c4ccccc4c4ccccc4c23)c(C)c1,ClCCl,
CC(C)C1=c2c(c3[nH]cc(C(C)C)c3c3ccccc23)=[N+]2C1=Cc1c(C(C)C)c3c4ccccc4c4c(C(C)C)c[nH]c4c3n1[B-]2(F)F,ClC(Cl)Cl,
CC1=C2c3ccccc3C(C)=[N+]2[B-](F)(F)n2c(C)c3cc4c(-c5ccccc5)c5c(c(-c6ccccc6)c4cc3c21)-c1cccc2cccc-5c12,ClCCl,
CC1=c2c3c4cccc5cccc(c=3c(C)[n+]2[B-](F)(F)n2c(C)c3cc6c(-c7ccccc7)c7c(c(-c8ccccc8)c6cc3c21)-c1cccc2cccc-7c12)c54,ClCCl,
Cc1c2cc3c(-c4ccccc4)c4c(c(-c5ccccc5)c3cc2c2n1[B-](F)(F)[n+]1c(C)c3cc5c(-c6ccccc6)c6c7cccc8cccc(c6c(-c6ccccc6)c5cc3c1=C2c1ccccc1)c87)-c1cccc2cccc-4c12,ClCCl,
CCC1=[N+]2c3c(c4ccc(Oc5c(C)cc(C)cc5C)c5cc6c(Oc7c(C)cc(C)cc7C)ccc7c8cc(CC)n(c8c3c(c54)c67)[B-]2(F)F)=C1,Cc1ccccc1,
CCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(-c3ccc(C(C)(C)C)cc3)c3cccc4c5ccc6c7cc(-c8cc(C(C)(C)C)cc(C(C)(C)C)c8)n8c7c(c7cc1c(c5c76)c2c34)=C1C=CC(c2cc(C(C)(C)C)cc(C(C)(C)C)c2)=[N+]1[B-]8(F)F,Cc1ccccc1,
CC1=[N+]2C(=Cc3c4c(cn3[B-]2(F)F)-c2nc-4c(-c3ccccc3)c3ccc([nH]3)c(-c3ccccc3)c3nc(c(-c4ccccc4)c4ccc([nH]4)c2-c2ccccc2)C=C3)C(C)C1,ClCCl,
F[B-]1(F)n2c(c3ccccc3c2-c2ccccc2)C=C2c3ccccc3C(c3ccccc3)=[N+]21,ClCCl,
CCc1ccc(C2=[N+]3C(=Cc4c5ccc(OC)cc5c(-c5ccc(CC)s5)n4[B-]3(F)F)c3ccc(OC)cc32)s1,ClCCl,
CC1=[N+]2C(=C(C3=CC4OCCOCCOCCOCCOC4C=C3)c3c4ccccc4c(C=Cc4ccc(N(C)C)cc4)n3[B-]2(F)F)c2ccccc21,CC#N,
CC1=CC(C)=[N+]2C1=Cc1c3ccccc3c(C#Cc3ccccc3)n1[B-]2(F)F,ClCCl,
COc1ccc(C#Cc2c3ccccc3c3n2[B-](F)(F)[N+]2=C(C)C=C(C)C2=C3)cc1,ClCCl,
CC1=CC(C)=[N+]2C1=Cc1c3ccccc3c(C#Cc3cccs3)n1[B-]2(F)F,ClCCl,
CC1=CC(C)=[N+]2C1=Cc1c3ccccc3c(C#Cc3ccsc3)n1[B-]2(F)F,ClCCl,
COc1ccccc1C1=[N+]2C(=C(c3ccccc3)c3c4ccccc4c(-c4ccccc4OC)n3[B-]2(F)F)c2ccccc21,ClCCl,
c1ccc(C2=C3c4ccccc4C4=[N+]3[B-]3(Oc5ccccc54)Oc4ccccc4-c4c5ccccc5c2n43)cc1,ClCCl,
CCCCCCOc1ccc2c(c1)C1=[N+]3C2=Cc2c4ccc(OCCCCCC)cc4c4n2[B-]3(Oc2ccccc21)Oc1ccccc1-4,C1CCOC1,
CCCCCCc1ccsc1-c1ccc2c(c1)C1=[N+]3C2=Cc2c4ccc(-c5sccc5CCCCCC)cc4c4n2[B-]3(Oc2ccccc21)Oc1ccccc1-4,C1CCOC1,
CC1=CC(C)=[N+]2C1=Cc1c3ccccc3c(-c3[nH]c(C)cc3C)n1[B-]2(F)F,ClCCl,
CC1=c2ccccc2=[N+]2C1=Cc1c3ccccc3c(-c3[nH]c4ccccc4c3C)n1[B-]2(F)F,ClCCl,
CCOC(=O)COc1ccc(C=CC2=[N+]3C(=Cc4c5ccccc5c(-c5[nH]c(C)cc5C)n4[B-]3(F)F)C(C)=C2)cc1,ClCCl,
CCOC(=O)COc1ccc(C=CC2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c2c2ccccc2c3-c2[nH]c(C)cc2C)cc1,ClCCl,
CCOC(=O)COc1ccc(C=CC2=C3C(C)=CC(C=Cc4ccc(OCC(=O)OCC)cc4)=[N+]3[B-](F)(F)n3c2c2ccccc2c3-c2[nH]c(C)cc2C)cc1,ClCCl,
F[B-]1(F)n2c(-c3ccccc3)cc(-c3ccccc3)c2N=C2C(c3ccccc3)=CC(c3ccccc3)=[N+]21,ClC(Cl)Cl,
COc1ccc(C2=[N+]3C(=Nc4c(-c5ccccc5)cc(-c5ccc(OC)cc5)n4[B-]3(F)F)C(c3ccccc3)=C2)cc1,ClC(Cl)Cl,
CN(C)c1ccc(C2=[N+]3C(=Nc4c(-c5ccccc5)cc(-c5ccc(N(C)C)cc5)n4[B-]3(F)F)C(c3ccccc3)=C2)cc1,ClC(Cl)Cl,
COc1ccc(C2=CC(c3ccccc3)=[N+]3C2=Nc2c(-c4ccc(OC)cc4)cc(-c4ccccc4)n2[B-]3(F)F)cc1,ClC(Cl)Cl,
CN(C)c1ccc(C2=CC(c3ccccc3)=[N+]3C2=Nc2c(-c4ccc(N(C)C)cc4)cc(-c4ccccc4)n2[B-]3(F)F)cc1,Cc1ccccc1,
F[B-]1(F)n2c(-c3ccccc3)cc(-c3ccccn3)c2N=C2C(c3ccccn3)=CC(c3ccccc3)=[N+]21,CC#N,
F[B-]1(F)n2c(-c3cccs3)cc(-c3ccccc3)c2N=C2C(c3ccccc3)=CC(c3cccs3)=[N+]21,ClCCl,
F[B-]1(F)n2c(-c3ccccc3)cc(-c3cccs3)c2N=C2C(c3cccs3)=CC(c3ccccc3)=[N+]21,ClCCl,
F[B-]1(F)n2c(-c3cccs3)cc(-c3cccs3)c2N=C2C(c3cccs3)=CC(c3cccs3)=[N+]21,ClCCl,
F[B-]1(F)n2c(c(-c3ccccc3)c(-c3cccs3)c2-c2ccccc2)N=C2C(c3ccccc3)=C(c3cccs3)C(c3ccccc3)=[N+]21,ClCCl,
COc1ccc(C2=[N+]3C(=Nc4c(-c5ccccc5)c5c(n4[B-]3(F)F)-c3ccc(OC)cc3CC5)C(c3ccccc3)=C2)cc1,ClC(Cl)Cl,
COc1ccc2c(c1)CCC1=C(c3ccccc3)C3=Nc4c(-c5ccccc5)c5c(n4[B-](F)(F)[N+]3=C12)-c1ccc(OC)cc1CC5,ClC(Cl)Cl,
COc1ccc2c(c1)SCC1=C(c3ccccc3)C3=Nc4c(-c5ccccc5)c5c(n4[B-](F)(F)[N+]3=C12)-c1ccc(OC)cc1SC5,ClC(Cl)Cl,
COc1ccc2c(c1)CCc1c(-c3ccccc3)c3n(c1-2)[B-](F)(F)[N+]1=C2C(=C(c4ccccc4)C1=N3)CCc1ccccc12,ClC(Cl)Cl,
COc1ccc2c(c1)CCc1c(-c3ccccc3)c3n(c1-2)[B-](F)(F)[N+]1=c2ccc4ccccc4c2=C(c2ccccc2)C1=N3,ClC(Cl)Cl,
COc1ccccc1C1=[N+]2C(=Nc3c(-c4ccccc4)cc(-c4ccccc4OC)n3[B-]2(F)F)C(c2ccccc2)=C1,Cc1ccccc1,
C1=C(c2ccccc2)C2=Nc3c(-c4ccccc4)cc4n3[B-]3(Oc5ccccc5C1=[N+]23)Oc1ccccc1-4,Cc1ccccc1,
COc1ccc2c(c1)O[B-]13Oc4cc(OC)ccc4-c4cc(-c5ccccc5)c(n41)N=C1C(c4ccccc4)=CC2=[N+]13,ClC(Cl)Cl,
F[B-]1(F)n2c(c3ccccc3c2-c2ccccc2)N=C2c3ccccc3C(c3ccccc3)=[N+]21,ClCCl,
Fc1ccc(C2=[N+]3C(=Nc4c5ccccc5c(-c5ccc(F)cc5)n4[B-]3(F)F)c3ccccc32)cc1,ClCCl,
CN(C)c1ccc(C2=[N+]3C(=Nc4c5ccccc5c(-c5ccc(N(C)C)cc5)n4[B-]3(F)F)c3ccccc32)cc1,ClCCl,
Cc1ccc(C2=[N+]3C(=Nc4c5ccccc5c(-c5ccc(C)s5)n4[B-]3(F)F)c3ccccc32)s1,ClCCl,
F[B-]1(F)n2c(-c3ccccc3)c3ccc4ccccc4c3c2N=C2c3c(ccc4ccccc34)C(c3ccccc3)=[N+]21,ClCCl,
CCc1nc2c(nc1CC)C(c1ccccc1)=[N+]1C2=Nc2c3nc(CC)c(CC)nc3c(-c3ccccc3)n2[B-]1(F)F,C1CCOC1,
CC1=CC(C)=[N+]2C1=C(C1=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c31)c1c(C)cc(C)n1[B-]2(F)F,ClC(Cl)Cl,
CC1=CC(C)=[N+]2C1=C(C1=C(C)C3=C(C)c4c(C)cc(C)n4[B-](F)(F)[N+]3=C1C)c1c(C)cc(C)n1[B-]2(F)F,ClC(Cl)Cl,
CC1=C(C)C(c2c(C)c(C)c3n2[B-](F)(F)[N+]2=C(C)C(C)=C(C)C2=C3)=[N+]2C1=Cc1c(C)c(C)c(C)n1[B-]2(F)F,ClCCl,
CC1=CC(C)=[N+]2C1=Cc1c(C)c(C3=C(C)C4=Cc5c(C)cc(C)n5[B-](F)(F)[N+]4=C3C)c(C)n1[B-]2(F)F,ClCCl,
CC1=C(C2=C(C)C(C)=[N+]3C2=Cc2cc(C)c(C)n2[B-]3(F)F)C2=Cc3cc(C)c(C)n3[B-](F)(F)[N+]2=C1C,ClCCl,
CCCCCCCCOc1ccc(-c2c3c4n(c(-c5ccc(OCCCCCCCC)cc5)c3c3n2[B-](F)(F)[n+]2c(ccc5cc(C(C)(C)C)ccc52)C=3C#N)[B-](F)(F)[n+]2c(ccc3cc(C(C)(C)C)ccc32)C=4C#N)cc1,ClC(Cl)Cl,
CCCCCCCCOc1ccc(-c2c3c4n(c(-c5ccc(OCCCCCCCC)cc5)c3c3n2[B-](c2ccccc2)(c2ccccc2)[n+]2c(ccc5cc(C(C)(C)C)ccc52)C=3C#N)[B-](c2ccccc2)(c2ccccc2)[n+]2c(ccc3cc(C(C)(C)C)ccc32)C=4C#N)cc1,ClC(Cl)Cl,
CCCCCCCCOc1ccc(-c2c3c4n(c(-c5ccc(OCCCCCCCC)cc5)c3c3n2[B-](F)(F)[n+]2ccccc2N=3)[B-](F)(F)[n+]2ccccc2N=4)cc1,ClC(Cl)Cl,
CCCCCCCCOc1ccc(-c2c3c4n(c(-c5ccc(OCCCCCCCC)cc5)c3c3n2[B-](F)(F)[n+]2c(sc5ccccc52)N=3)[B-](F)(F)[n+]2c(sc3ccccc32)N=4)cc1,ClC(Cl)Cl,
CCCCCCCCOc1ccc(-c2c3c4n(c(-c5ccc(OCCCCCCCC)cc5)c3c3n2[B-](F)(F)[n+]2c(ccc5ccccc52)N=3)[B-](F)(F)[n+]2c(ccc3ccccc32)N=4)cc1,ClC(Cl)Cl,
CCC1=C(CC)C(C)=[N+]2C1=Cc1c(C)c3cc4c(cc3n1[B-]2(F)F)=[N+]1C(=Cc2c(CC)c(CC)c(C)n2[B-]1(F)F)C=4C,ClC(Cl)Cl,
CCc1c(CC)c2n(c1C)[B-](F)(F)[N+]1=C(C)c3cc4c(cc3C1=C2)=[N+]1C(=Cc2c(CC)c(CC)c(C)n2[B-]1(F)F)C=4C,ClC(Cl)Cl,
CC1=c2cc3c(C)c4n(c3cc2=[N+]2C1=Cc1c3ccccc3c(C)n1[B-]2(F)F)[B-](F)(F)[N+]1=C(C)c2ccccc2C1=C4,ClC(Cl)Cl,
CC1=c2cc3c(cc2=[N+]2C1=Cc1c4ccccc4c(C)n1[B-]2(F)F)C1=Cc2c4ccccc4c(C)n2[B-](F)(F)[N+]1=C3C,ClC(Cl)Cl,
O=C1C2=C(O[B-](F)(F)[n+]3c2ccc2ccccc23)c2cccc3c(N4CCOCC4)ccc1c23,ClCCl,
O=C1C2=C(O[B-](F)(F)[n+]3c2ccc2ccccc23)c2ccc(N3CCOCC3)c3cccc1c23,ClCCl,
CCCCC1C(=O)c2cc(Oc3ccc(C(C)(C)C)cc3)c3c4c(Oc5ccc(C(C)(C)C)cc5)cc5c6c(cc(Oc7ccc(C(C)(C)C)cc7)c(c7c(Oc8ccc(C(C)(C)C)cc8)cc(c2c37)C1=O)c64)C1=C(C5=O)c2ccc3ccccc3[n+]2[B-](F)(F)O1,ClCCl,
CC(C)(C)c1ccc(Oc2cc3c4c(cc(Oc5ccc(C(C)(C)C)cc5)c5c6c(Oc7ccc(C(C)(C)C)cc7)cc7c8c(cc(Oc9ccc(C(C)(C)C)cc9)c(c2c45)c86)C(=O)C2=C7O[B-](F)(F)[n+]4c2ccc2ccccc24)C2=C(C3=O)c3ccc4ccccc4[n+]3[B-](F)(F)O2)cc1,ClCCl,
CN(C)c1ccc(C2=Nc3ccc4c(C(F)(F)F)cc(C(F)(F)F)nc4[n+]3[B-](F)(F)O2)cc1,ClCCl,
O=C1c2ccccc2C2=Cc3cccc[n+]3[B-](F)(F)N12,ClCCl,
O=C1c2ccccc2C2=Nc3cccc[n+]3[B-](F)(F)N12,ClCCl,
O=C1c2ccccc2C2=Nc3ccc4ccccc4[n+]3[B-](F)(F)N12,ClCCl,
O=C1c2cc3ccccc3cc2C2=Nc3cccc[n+]3[B-](F)(F)N12,ClCCl,
O=C1c2cc3ccccc3cc2C2=Nc3ccc4ccccc4[n+]3[B-](F)(F)N12,ClCCl,
F[B-]1(F)n2c(nc3c4ccccc4c4ccccc4c32)-c2ccc3ccccc3[n+]21,ClCCl,
CCN(CC)c1ccc2c(c1)OC1=[N+](c3ccc(I)cc3)[B-](F)(F)n3c(nc4ccccc43)C1=C2,ClCCl,
F[B-]1(F)N(c2ccccc2)c2cccc3ccc4ccc[n+]1c4c23,ClCCl,
CC1=NN(c2cccc3ccccc23)[B-](F)(F)[n+]2ccccc21,ClCCl,
Cc1cc(C)n2c1C=C1C(=O)N(C)C(c3ccc([N+](=O)[O-])cc3)=[N+]1[B-]2(F)F,CCCCCC,
Cc1ccc(N=C2C3=c4[nH]c5ccccc5c4=[N+](c4ccc(C)cc4)[B-](F)(F)N3c3ccccc32)cc1,ClCCl,
Cc1ccc([N+]2=c3c4n(c5ccccc35)[B-](F)(F)[N+](c3ccc(C)cc3)=c3c=4n(c4ccccc34)[B-]2(F)F)cc1,ClCCl,
CC(C)(C)c1cc2ccc3ccc(-c4ccc(C(c5ccc(-c6ccc7ccc8cc(C(C)(C)C)cc9ccc6c7c89)cc5)C(c5ccc(-c6ccc7ccc8cc(C(C)(C)C)cc9ccc6c7c89)cc5)c5ccc(-c6ccc7ccc8cc(C(C)(C)C)cc9ccc6c7c89)cc5)cc4)c4ccc(c1)c2c34,C1CCOC1,35.2
CC(C)(C)c1cc2ccc3ccc(-c4ccccc4)c4ccc(c1)c2c34,C1CCOC1,33.4
Cc1ccc(-c2ccc3ccc4cc(C(C)(C)C)cc5ccc2c3c45)cc1,C1CCOC1,33.8
